id,source_row,store_name,naver_place_name,category,address,naver_road_address,first_image,naver_url
1323320226,91,솔솥(판교점),솔솥 판교점,한식,"13530) 경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지) 1층",경기 성남시 분당구 대왕판교로606번길 10 제타워 1동 1층 116호,https://ldb-phinf.pstatic.net/20260406_163/1775436935214ECWnC_PNG/%B6%F8%BD%BA%C5%CD_%BB%F5%BF%EC_%BC%DC%B9%E4.png,https://m.place.naver.com/place/1323320226/menu/list
2030772228,37,수국정 판교,수국정 판교,한식,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 삼환하이펙스 A동 지하 121호,경기 성남시 분당구 판교역로 240 지하1층 B-121호,https://ldb-phinf.pstatic.net/20251030_234/1761800409665xTuBM_JPEG/20250823_%BC%F6%B1%B9%C1%A4%285m%29-%C7%D1%BF%EC%B1%B9%B9%E4.jpg,https://m.place.naver.com/place/2030772228/menu/list
1011781285,120,스마일쿡,스마일쿡,한식,"13494) 경기 성남시 분당구 판교역로 231 삼평동, 에이치스퀘어 에스동 B1 112호",경기 성남시 분당구 판교역로 231,,https://m.place.naver.com/place/1011781285/menu/list
1628161572,306,오덮,오덮,한식,"13493) 경기 성남시 분당구 판교역로 240 삼평동, 삼환하이펙스A동 지하1층",경기 성남시 분당구 판교역로 240,,https://m.place.naver.com/place/1628161572/menu/list
1620963045,312,오봉집(판교유스페이스점),오봉집 판교유스페이스점,한식,13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동)  2층 213호,경기 성남시 분당구 대왕판교로 670 B동 2층 213호,,https://m.place.naver.com/place/1620963045/menu/list
1545864194,192,옥된장,옥된장 판교점,한식,13524) 경기도 성남시 분당구 판교역로 184 (삼평동) 1층 102-2호,경기 성남시 분당구 판교역로 184 1층 102-2호 옥된장 판교점,https://ldb-phinf.pstatic.net/20260109_25/1767922533564Pt6sY_PNG/%BF%C1%B5%C8%C0%E5-%B7%CE%B0%ED-1.png,https://m.place.naver.com/place/1545864194/menu/list
1249368340,137,육대장(판교점),육마니 판교운중점,한식,13493) 경기도 성남시 분당구 판교역로 230,경기 성남시 분당구 운중로146번길 11-4,https://ldb-phinf.pstatic.net/20240506_170/1714965955644R3rsP_JPEG/menu01.jpg,https://m.place.naver.com/place/1249368340/menu/list
1846531786,61,육회한 김스지,육회한김스지,한식,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 1층,경기 성남시 분당구 대왕판교로 660 판교유스페이스1 1층 123호 육회한 김스지,https://ldb-phinf.pstatic.net/20260512_101/1778563667841QhWGV_JPEG/13303.jpg,https://m.place.naver.com/place/1846531786/menu/list
1662712608,207,윤가네용대리황태국(판교점),윤가네용대리황태국 판교점,한식,"13494) 경기 성남시 분당구 대왕판교로 660 삼평동, 유스페이스1 1층","경기 성남시 분당구 대왕판교로 660 (삼평동, 유스 페이스1) 116호",https://ldb-phinf.pstatic.net/20240929_48/17275893698932HbU2_JPEG/1727589345382.jpg,https://m.place.naver.com/place/1662712608/menu/list
2098667179,74,청담보리가_QR,청담보리가,한식,13524) 경기도 성남시 분당구 대왕판교로606번길 45 (삼평동) 2층 리파인,경기 성남시 분당구 대왕판교로606번길 45 2층 201호~203 호,https://ldb-phinf.pstatic.net/20250609_55/1749458468812dNWR5_JPEG/%BA%B8%B8%AE%B0%A13.jpg,https://m.place.naver.com/place/2098667179/menu/list
